year,recipient_code,chn_aid
2000,AFG,500000
2001,AFG,4745287.4316
2002,AFG,120000
2003,AFG,1341632.3716
2004,AFG,20400000
2006,AFG,1000000
2007,AFG,12015893.29
2008,AFG,16218966.116
2009,AFG,2287500
2010,AFG,1250000
2011,AFG,4000000
2012,AFG,681206.1591
2013,AFG,32280148.58
2014,AFG,0
2004,ALB,1200000
2005,ALB,13800
2007,ALB,1230000
2008,ALB,0
2009,ALB,1463825.351
2010,ALB,20000
2011,ALB,0
2002,DZA,3000000
2010,DZA,44311385.37
2011,DZA,0
2000,AGO,0
2001,AGO,600000
2002,AGO,146804086.707
2003,AGO,11000000
2004,AGO,0
2005,AGO,7102090.062
2006,AGO,200000
2007,AGO,239835330.6413
2008,AGO,28798000
2011,AGO,309527.5045
2012,AGO,0
2013,AGO,32280148.58
2014,AGO,84256545.0933
2010,ATG,1037037.037
2011,ATG,45000000
2012,ATG,1013888.237
2013,ATG,4842022.288
2003,ARM,650000
2005,ARM,1220358.012
2006,ARM,940623.0645
2009,ARM,2195738.027
2012,ARM,11089402.59
2014,ARM,9766524.565
2004,AZE,600000
2005,AZE,1830537.019
2010,AZE,2900000
2000,BGD,48317907.68
2002,BGD,19330774.624
2004,BGD,945737.3979
2006,BGD,216000000
2007,BGD,1014664.27344
2008,BGD,0
2009,BGD,270288232.165
2010,BGD,14770461.79
2011,BGD,94305292.444
2012,BGD,0
2013,BGD,227000000
2014,BGD,87000000
2000,BRB,950000
2006,BRB,0
2001,BLR,1200000
2002,BLR,1208173.414
2003,BLR,1838161.858
2007,BLR,11901406.632
2009,BLR,0
2010,BLR,0
2011,BLR,11000000
2013,BLR,100610111.44
2000,BEN,9240799.843
2002,BEN,0
2004,BEN,0
2005,BEN,0
2006,BEN,0
2007,BEN,3943459.985
2008,BEN,28782548.563
2009,BEN,12706849.22
2010,BEN,0
2013,BEN,65880664.214
2014,BEN,840000
2003,BOL,30000
2006,BOL,1200000
2008,BOL,0
2009,BOL,60300000
2010,BOL,40000000
2011,BOL,63500000
2012,BOL,223800000
2013,BOL,12912059.43
2014,BOL,502000000
2001,BIH,1574000
2003,BIH,2260000
